LC_PLY_PID,DT_CREATE,DT_RETIRE,LOC_PID,NAME,POSTCODE,PRIM_PCODE,LOCCL_CODE,DT_GAZETD,STATE_PID
10464,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2960,NEVER NEVER,,,G,"""1899-11-30T00:00:00.000Z""",1
30882,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3451,ROSSMORE,,,G,"""1899-11-30T00:00:00.000Z""",1
28520,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5005,WOODSTOCK,,2360,G,"""1899-11-30T00:00:00.000Z""",1
30886,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1619,GEORGES HALL,,,G,"""1899-11-30T00:00:00.000Z""",1
30900,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2188,KIOLOA,,,G,"""1899-11-30T00:00:00.000Z""",1
30909,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2339,LIDCOMBE,,,G,"""1899-11-30T00:00:00.000Z""",1
30910,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5045,SYDNEY OLYMPIC PARK,,,G,"""1899-11-30T00:00:00.000Z""",1
31057,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2074,KALARU,,,G,"""1899-11-30T00:00:00.000Z""",1
11701,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2512,MARINNA,,,G,"""1899-11-30T00:00:00.000Z""",1
30977,"""2020-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1848,HALLIDAYS POINT,,,G,"""1899-11-30T00:00:00.000Z""",1
30958,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4308,WHITE ROCK,,,G,"""1899-11-30T00:00:00.000Z""",1
30959,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1737,GORMANS HILL,,,G,"""1899-11-30T00:00:00.000Z""",1
24793,"""2015-09-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3819,TEN MILE HOLLOW,,,G,"""1899-11-30T00:00:00.000Z""",1
