,Venue,Address
0,Mona Vale Hotel,"Barrenjoey Road (Cnr Park St), Mona Vale, Sydney"
1,Leadbelly Newtown,"42 King Street, Newtown, Sydney"
2,Kings Cross Theatre - KXT,"Level 2, Kings Cross Hotel, 244–248 William St, Kings Cross, Sydney"
3,Max Watt's,"Building 220, 122 Lang Road, Moore Park, Sydney"
4,Play Bar,"Basement 72 Campbell Street, Surry Hills, Sydney"
5,Proper Music Social ,"576 King Street Newtown, Newtown, Sydney"
6,The Vanguard,"42 King St, Newtown, Sydney"
7,Rock Lily,"80 Pyrmont Street, Pyrmont, Sydney"
8,Blue Beat Live Club,"16 Cross Steet, Double Bay, Sydney"
9,The Soda Factory,"16 Wentworth St, Surry Hills, Sydney"
10,Crowbar Sydney,"345 Parramatta Rd, Leichhardt, Sydney"
11,LazyBones Lounge Marrickville,"294 Marrickville Rd, Marrickville, Sydney"
12,Name This Bar,"197 Oxford Sreet, Darlinghurst, Sydney CBD, Sydney"
13,UTS Uni Bar - Glasshouse Bar,"15 Broadway, Ultimo, Sydney"
14,The Juniors Malabar,"28 Victoria St., Malabar, Sydney"
15,Soundworks Studios,"18-26 Faversham Street, Marrickville, Sydney"
16,The Welcome Hotel,"91 Evans St, Rozelle NSW 2039, Rozelle, Sydney"
17,The Russian Club,"5-7 Albert Rd, Strathfield NSW, Strathfield, Sydney"
18,Belgrave Cartel,"6 Belgrave Street, Manly, Sydney"
19,Riverside Theatres,"Cnr Church and Market St, Parramatta, Sydney"
20,Loud 'n' Local,"9 Resolution Drive, Caringbah, Sydney"
21,Palmer & Co,"Abercrombie Lane, Circular Quay, Sydney"
22,Hudsons Ballroom,"53–55 Liverpool St, Darling Harbour, Sydney"
23,Easy Tiger,"Basement - 106 Oxford Street, Sydney CBD, Sydney"
24,The Bristol Arms Retro Hotel,"81 Sussex Street NSW 2000, Sydney CBD, Sydney"
25,Valve Bar,"871 George St, Sydney CBD, Sydney"
26,Foundry616,"616 Harris St., Ultimo, Sydney"
27,Buckler's Canteen,"180 Campbell Parade, Bondi Beach, Bondi Beach, Sydney"
28,Rolling Stone Live Lodge,"197 Oxford St, Darlinghurst, Darlinghurst, Sydney"
29,The Bluebeat,"16-18 Cross St, Double Bay, Double Bay, Sydney"
30,The Oxford Hotel,"134 Oxford St, Darlinghurst NSW 2010, Darlinghurst, Sydney"
31,Arts Bar,"27-33 Oxford Street, Paddington, Sydney"
32,The Captain Cook Hotel,"1/162 Flinders St, Paddington, Sydney"
33,Black Penny,"648 Bourke Street, Surry Hills, Sydney"
34,Cafe Lounge,"277 Goulburn Street, Surry Hills, Sydney"
35,The Forresters,"336 Riley St, Surry Hills, Sydney"
36,The Newsagency,"74–76 Pyrmont Bridge Road, Annandale, Sydney"
37,Vienna People,"Unit 4, Gehrig Lane Annandale, Annandale, Sydney"
38,The Roller Den,"35 Erskineville Rd, Erskineville, Sydney"
39,Best Music Warehouse,"36 Glebe Point Road, Glebe, Sydney"
40,Technology Park Hotel,"1 Wyndham St, Eveleigh, Sydney"
41,Abattoir Blues Cafe,"Herb Elliot Ave, Sydney Olympic Park, Sydney Olympic Park, Sydney"
42,Kokos Discovery,"1a - 2 Waters Road, Neutral Bay, Sydney, Neutral Bay, Sydney"
43,The Co-Op Club,"1860 Pittwater Road, Church Point, Sydney"
44,Dangar Island Bowling Club,"Grantham Crescent, Dangar Island, Sydney"
45,Westmead Tavern,"24 Railway Pde, Westmead, Sydney"
46,Sounds of the Suburbs,"Wilbar Lane Cronulla, Cronulla, Sydney"
47,Studio Six,"6A Boyle Street, Sutherland, Sydney"
48,Wallacia Hotel,"1590 Mulgoa Road, Wallacia, Sydney"
49,Bistro 447,"447 Victoria Road, Wetherill Park, Sydney"
50,The Australian Arms Hotel,"351 High St Penrith, Penrith, Sydney"
