Incident Suburb,6/2015 - 2016,6/2016 - 2017,6/2017 - 2018,6/2018 - 2019,6/2019 - 2020,Latitude,Longitude
Elizabeth Bay,14,24,16,16,12,-33.878,151.2204
Haymarket,310,292,271,215,159,-33.8809,151.2029
Marrickville,53,58,70,65,53,-33.9087,33.9087
Newtown,164,180,207,174,112,-33.8978,33.8978
Paddington,34,37,40,30,36,-33.885,151.2262
Potts Point,270,251,259,197,151,-33.868,151.2241
Rushcutters Bay,6,10,12,14,4,-33.8743,151.2285
Surry Hills,230,229,198,203,161,-33.8861,151.2111
Sydney,854,793,753,808,641,-33.8688,151.2093
Woolloomooloo,93,59,64,71,62,-33.8704,151.2223
Darlinghurst,207,250,247,224,192,-33.878,151.2204
