,name,vicinity,Latitude,Longitude,rating,types,business_status
0,The Court,"50 Beaufort Street, Perth",-31.9502778,115.8625,4.0,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
1,Geisha Bar,"135A James Street, Northbridge",-31.948176500000002,115.8571473,4.2,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
2,Hit Studio Karaoke,"64 Francis Street, Northbridge",-31.9473669,115.85880379999999,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
3,Paramount Nightclub,"163 James Street, Northbridge",-31.947774100000004,115.8559873,2.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
4,The Ellington Jazz Club,"191 Beaufort Street, Perth",-31.9466589,115.86428909999998,4.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
5,Rapture Nightclub,"78 James Street, Northbridge",-31.948625899999996,115.8589811,1.8,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
6,Perth's Best Strip Club | The Voodoo Lounge,"174 James Street, Northbridge",-31.94734539999999,115.855954,4.2,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
7,Jack Rabbit Slim's,"133 Aberdeen Street, Perth",-31.9456468,115.8567375,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
8,Library,"69 Lake Street, Northbridge",-31.946324699999998,115.8574886,3.6,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
9,The Republic night Club,"66 Lake Street, Northbridge",-31.94666599999999,115.85786100000001,3.4,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
10,Buda Buda Restaurant,"Northbridge, 65 Francis Street, Perth",-31.9476549,115.8584379,3.5,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
11,Ferrara Karaoke Bar,"Queen Street, Perth",-31.950998,115.85650840000001,4.1,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
12,Magnet House,"393 Murray Street, Perth",-31.951489199999997,115.8540169,3.3,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
13,The Sewing Room Perth,"317 Murray Street, (Basement) Wolf Lane, Perth",-31.952257,115.85601100000001,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
14,Shisha Nights,"80 Outram Street, West Perth",-31.9469756,115.8406251,3.8,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
15,Villa,"187 Stirling Street, Perth",-31.946354499999998,115.86587220000001,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
16,Air Nightclub,"139 James Street, Perth",-31.948149800000003,115.8569145,3.5,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
17,Mint Nightclub,"22 Lake Street, Northbridge",-31.948170299999997,115.8567098,3.5,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
18,Ambar,"104 Murray Street, Perth",-31.9538187,115.86234850000001,4.0,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
19,Connections Nightclub,"81 James Street, Perth",-31.948811499999998,115.85847849999999,4.0,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
20,Hip-E Club,"21-23/663 Newcastle Street, Leederville",-31.938350300000003,115.84209070000001,3.1,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
21,Crown Karaoke Restaurant,"60 Roe Street, Northbridge",-31.94925280000001,115.8573,4.0,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
22,Gold Bar,"83 Rokeby Road, Subiaco",-31.947570000000002,115.82375,3.9,"[""bar"",""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
23,Paradise Karaoke Bar,"108 Francis Street, Northbridge",-31.946400699999998,115.8568061,3.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
24,Perth's Best Hens Night - Delicious Ladies Bar & Club,"174 James Street, Northbridge",-31.947303,115.85603219999999,4.0,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
25,KARA Karaoke,"21B Lake Street, Northbridge",-31.948248600000003,115.85644429999999,4.4,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
26,Club Humble,"90 Aberdeen Street, Northbridge",-31.9463214,115.85913629999999,3.4,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
27,GALAXY LOUNGE,"65 Francis Street, Northbridge",-31.9476549,115.8584379,4.0,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
28,Mirage Palace Karaoke,"88 James Street, Northbridge",-31.948528200000002,115.8585662,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
29,Bar De Luxe,"1/310 William Street, Northbridge",-31.9467327,115.86107859999998,,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
