_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,types,vicinity
5f7b40599228f0390b9ef979,OPERATIONAL,-33.8713517,151.1947299,The Dunkirk Hotel,ChIJ4UEnPTGuEmsRkjpDW7FRSko,"[""lodging"",""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","205 Harris Street, Pyrmont"
5f7b405a9228f0390b9ef97a,OPERATIONAL,-33.8787509,151.2139711,Vintage Cellars Darlinghurst,ChIJYw-naheuEmsRYGZ-oAbupl8,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","Oxford Village Shop 15, 61-65 Oxford Street, Darlinghurst"
5f7b405a9228f0390b9ef97b,OPERATIONAL,-33.8732188,151.2077003,Hotel Coronation,ChIJy8dJeT6uEmsRDYUc0_KMnUo,"[""lodging"",""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]","5-7 Park Street, Sydney"
5f7b405a9228f0390b9ef97c,OPERATIONAL,-33.8771162,151.2439901,Vintage Cellars Double Bay,ChIJlc8lXN2tEmsRH7ftvfbphyU,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","396-398 New South Head Road, Double Bay"
5f7b405a9228f0390b9ef97d,OPERATIONAL,-33.89270330000001,151.1917184,Royal Hotel,ChIJcb3xM9KxEmsR93vR0RBnnDU,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","370 Abercrombie Street, Darlington"
5f7b405a9228f0390b9ef97e,OPERATIONAL,-33.9025785,151.1949437,"Dan Murphy's Alexandria",ChIJGyi6IsmxEmsRI8lbMBq043M,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","2/10 Fountain Street, Alexandria"
5f7b405a9228f0390b9ef97f,OPERATIONAL,-33.8921686,151.2054085,Woolpack Hotel,ChIJ8RPcuN6xEmsRgh4D280fulk,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","229 Chalmers Street, Redfern"
5f7b405a9228f0390b9ef980,OPERATIONAL,-33.877986,151.2206267,Darlo Bar,ChIJaVxY6hGuEmsRT7xRTYn89I8,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]","306 Liverpool Street, Darlinghurst"
5f7b405a9228f0390b9ef981,OPERATIONAL,-33.885172,151.2300089,The London Hotel,ChIJG5nLMAauEmsRJIvcP4x7dsA,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","85 Underwood Street, Paddington"
5f7b405a9228f0390b9ef982,OPERATIONAL,-33.8871694,151.21014,Dove & Olive,ChIJh7-HKSCuEmsRYE1hFIW0rIc,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","156 Devonshire Street, Surry Hills"
